BG_Left	BY_Left	BR_Left	BG_Thru	BY_Thru	BR_Thru
				167	204
723	821	857	723	1102	1139
1674	1772	1808	1674	2069	2106
2626	2724	2760	2626	3020	3057
3576	3673	3709	3576	3970	4007
4527	4625	4661	4527	4936	4973
			5478	5818	5855
6429	6527	6563	6429	6814	6851
7379	7477	7513	7379	7759	7796
8330	8428	8464	8330	8725	8762
9281	9379	9415	9281	9676	9713
10231	10329	10365	10231	10626	10663
11182	11280	11316	11182	11577	11614
12133	12231	12267	12133	12512	12549
13083	13181	13217	13083	13477	13514
14034	14131	14167	14034	14428	14465
14984	15082	15118	14984	15379	15416
15936	16033	16069	15936	16330	16367
16886	16984	17020	16886	17280	17317
17837	17935	17971	17837	18231	18268
