BG_Left	BY_Left	BR_Left	BG_Thru	BY_Thru	BR_Thru
12	82	118	140	487	523
1016	1087	1123	1143	1492	1528
2020	2089	2125	2147	2495	2531
3023	3094	3130	3151	3497	3533
4026	4095	4131	4154	4501	4537
5030	5099	5135	5157	5504	5540
6032	6103	6139	6161	6508	6544
7036	7106	7142	7164	7511	7547
8040	8109	8145	8168	8515	8551
9045	9114	9150	9171	9519	9555
10047	10118	10154	10175	10522	10558
11051	11121	11157	11179	11526	11562
12057	12125	12161	12182	12530	12566
13058	13128	13164	13186	13533	13569
14063	14132	14168	14190	14536	14572
15065	15135	15171	15193	15541	15577
16070	16139	16175	16198	16545	16581
17074	17144	17180	17201	17549	17585
18078	18147	18183	18205	18551	18587
