BG_Left	BY_Left	BR_Left	BG_Thru	BY_Thru	BR_Thru
10	115	151	10	394	431
1010	1092	1128	1010	1394	1431
2009	2107	2143	2009	2389	2426
3009	3107	3143	3009	3394	3431
			4009	4348	4385
5009	5106	5142	5009	5393	5430
6009	6063	6099	6009	6348	6385
7008	7106	7142	7008	7389	7426
8008	8106	8142	8008	8388	8425
9008	9106	9142	9008	9348	9385
10008	10106	10142	10008	10389	10426
11008	11106	11142	11008	11279	11316
12008	12106	12142	12008	12393	12430
13008	13106	13142	13008	13388	13425
14008	14106	14142	14008	14393	14430
15008	15097	15133	15008	15394	15431
16008	16106	16142	16008	16393	16430
			17008	17239	17276
18008	18106	18142	18008		
